# board=.../Cooling rev2 - thruhole.bot.etch.nc
# tool size=0.031496
# pass=1
# preview window width=800 height=600
-0.20155, 0.32486,-0.26155, 0.26486
-0.26155, 0.26486,-0.26486, 0.26155
-0.26486, 0.26155,-0.26875, 0.25895
-0.26875, 0.25895,-0.27307, 0.25716
-0.27307, 0.25716,-0.27766, 0.25625
-0.27766, 0.25625,-0.91965, 0.25625
-0.91965, 0.25625,-0.92216, 0.25280
-0.92216, 0.25280,-0.92680, 0.24816
-0.92680, 0.24816,-0.93212, 0.24429
-0.93212, 0.24429,-0.93797, 0.24131
-0.93797, 0.24131,-0.94422, 0.23928
-0.94422, 0.23928,-0.95071, 0.23825
-0.95071, 0.23825,-1.00929, 0.23825
-1.00929, 0.23825,-1.01578, 0.23928
-1.01578, 0.23928,-1.02203, 0.24131
-1.02203, 0.24131,-1.02788, 0.24429
-1.02788, 0.24429,-1.03320, 0.24816
-1.03320, 0.24816,-1.03784, 0.25280
-1.03784, 0.25280,-1.04171, 0.25812
-1.04171, 0.25812,-1.04469, 0.26397
-1.04469, 0.26397,-1.04672, 0.27022
-1.04672, 0.27022,-1.04775, 0.27671
-1.04775, 0.27671,-1.04775, 0.28329
-1.04775, 0.28329,-1.04672, 0.28978
-1.04672, 0.28978,-1.04469, 0.29603
-1.04469, 0.29603,-1.04171, 0.30188
-1.04171, 0.30188,-1.03784, 0.30720
-1.03784, 0.30720,-1.03320, 0.31184
-1.03320, 0.31184,-1.02788, 0.31571
-1.02788, 0.31571,-1.02203, 0.31869
-1.02203, 0.31869,-1.01578, 0.32072
-1.01578, 0.32072,-1.00929, 0.32175
-1.00929, 0.32175,-0.95071, 0.32175
-0.95071, 0.32175,-0.94422, 0.32072
-0.94422, 0.32072,-0.93797, 0.31869
-0.93797, 0.31869,-0.93212, 0.31571
-0.93212, 0.31571,-0.92680, 0.31184
-0.92680, 0.31184,-0.92216, 0.30720
-0.92216, 0.30720,-0.91965, 0.30375
-0.91965, 0.30375,-0.28984, 0.30375
-0.28984, 0.30375,-0.24375, 0.34984
-0.24375, 0.34984,-0.24375, 0.45111
-0.24375, 0.45111,-0.24381, 0.45114
-0.24381, 0.45114,-0.24960, 0.45535
-0.24960, 0.45535,-0.25465, 0.46040
-0.25465, 0.46040,-0.25886, 0.46619
-0.25886, 0.46619,-0.26210, 0.47256
-0.26210, 0.47256,-0.26431, 0.47936
-0.26431, 0.47936,-0.26543, 0.48642
-0.26543, 0.48642,-0.26543, 0.49358
-0.26543, 0.49358,-0.26431, 0.50064
-0.26431, 0.50064,-0.26210, 0.50744
-0.26210, 0.50744,-0.25886, 0.51381
-0.25886, 0.51381,-0.25465, 0.51960
-0.25465, 0.51960,-0.24960, 0.52465
-0.24960, 0.52465,-0.24381, 0.52886
-0.24381, 0.52886,-0.24375, 0.52889
-0.24375, 0.52889,-0.24375, 0.53779
-0.24375, 0.53779,-0.28932, 0.78049
-0.28932, 0.78049,-0.28975, 0.78266
-0.28975, 0.78266,-0.28975, 0.78279
-0.28975, 0.78279,-0.28977, 0.78292
-0.28977, 0.78292,-0.28975, 0.78512
-0.28975, 0.78512,-0.28975, 0.96714
-0.28975, 0.96714,-0.36508, 0.96677
-0.36508, 0.96677,-0.36766, 0.96625
-0.36766, 0.96625,-0.40965, 0.96625
-0.40965, 0.96625,-0.41216, 0.96280
-0.41216, 0.96280,-0.41680, 0.95816
-0.41680, 0.95816,-0.42212, 0.95429
-0.42212, 0.95429,-0.42797, 0.95131
-0.42797, 0.95131,-0.43422, 0.94928
-0.43422, 0.94928,-0.44071, 0.94825
-0.44071, 0.94825,-0.49929, 0.94825
-0.49929, 0.94825,-0.50578, 0.94928
-0.50578, 0.94928,-0.51203, 0.95131
-0.51203, 0.95131,-0.51788, 0.95429
-0.51788, 0.95429,-0.52320, 0.95816
-0.52320, 0.95816,-0.52784, 0.96280
-0.52784, 0.96280,-0.53171, 0.96812
-0.53171, 0.96812,-0.53469, 0.97397
-0.53469, 0.97397,-0.53672, 0.98022
